                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                    1.4,                0.95827,                 1.1808,                0.71905,                0.75985,                0.73839,                0.42794,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     38,                 1.2285,                0.84447,                 1.0968,                0.77558,                0.71875,                0.77265,                0.42485,                      0,                    inf,                      0,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3244,                0.96112,                 1.1164,                0.86888,                0.71875,                0.76166,                0.39809,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     40,                 1.2427,                0.82902,                 1.1101,                0.85202,                0.78125,                0.81572,                0.40447,                      0,                    inf,                      0,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.2951,                0.90057,                 1.1195,                0.80578,                0.77793,                0.83641,                0.41442,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     42,                 1.3142,                0.89257,                 1.1408,                 0.7439,                0.68087,                0.71151,                0.27732,                      0,                    inf,                      0,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.2304,                0.84355,                 1.0976,                 0.8319,                0.65625,                0.67375,                0.22622,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     44,                 1.2433,                 0.8342,                 1.1192,                0.68539,                0.73438,                0.68938,                0.24384,                      0,                    inf,                      0,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.1651,                 0.7812,                 1.0943,                0.83795,                0.64645,                0.72772,                 0.3427,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     46,                 1.1974,                0.83623,                 1.0898,                0.76951,                0.71875,                0.71133,                 0.3487,                      0,                    inf,                      0,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.2243,                0.88647,                 1.0997,                0.74407,                   0.75,                0.73407,                0.37014,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     48,                 1.2124,                0.78109,                 1.0984,                0.77841,                0.76847,                0.75062,                0.40982,                      0,                    inf,                      0,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.2093,                0.76087,                 1.0957,                0.82566,                   0.75,                0.74351,                0.32392,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     50,                  1.245,                 0.7857,                 1.0932,                0.71523,                0.76562,                0.74429,                0.35284,                      0,                    inf,                      0,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.222,                0.79645,                 1.0996,                0.78715,                   0.75,                0.77036,                 0.3597,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     52,                 1.1508,                0.77375,                 1.0855,                0.74265,                 0.8125,                0.73758,                0.38274,                      0,                    inf,                      0,              0.0074755,              0.0074755,              0.0074755
                     53,                  1.182,                0.77434,                 1.1106,                0.78856,                0.75759,                0.76352,                 0.3534,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     54,                 1.1574,                0.80357,                 1.0731,                0.87979,                0.70312,                0.78965,                0.37504,                      0,                    inf,                      0,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.1046,                0.76772,                 1.0336,                0.72571,                0.79688,                0.80354,                0.42423,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     56,                 1.1374,                0.74998,                 1.0535,                0.82876,                   0.75,                0.77135,                0.40763,                      0,                    inf,                      0,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.1281,                0.73741,                 1.0542,                0.82535,                   0.75,                0.78362,                0.37684,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     58,                   1.07,                0.70387,                 1.0392,                0.72687,                0.73438,                0.78038,                0.37333,                      0,                    inf,                      0,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.0988,                0.76679,                 1.0449,                0.72087,                0.73438,                0.73718,                 0.3914,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     60,                 1.0878,                0.70926,                 1.0613,                0.80217,                0.70312,                 0.7385,                0.39562,                      0,                    inf,                      0,              0.0070795,              0.0070795,              0.0070795
                     61,                  1.107,                0.71907,                 1.0544,                0.78522,                0.78125,                0.80357,                0.42056,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     62,                 1.1134,                0.73951,                 1.0633,                0.81994,                0.71156,                0.80313,                0.39359,                      0,                    inf,                      0,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.1082,                0.70694,                 1.0285,                0.73332,                0.82812,                0.77728,                0.35032,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     64,                 1.0807,                0.72169,                 1.0293,                0.67821,                0.79688,                0.75362,                0.36611,                      0,                    inf,                      0,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.0359,                0.70388,                 1.0184,                0.77864,                0.82446,                0.79364,                0.43243,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     66,                 1.0932,                0.69806,                 1.0701,                0.82956,                0.76056,                0.79339,                0.41983,                      0,                    inf,                      0,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.0372,                0.72752,                 1.0544,                0.77017,                0.84375,                0.82545,                0.41293,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     68,                 1.0801,                0.68539,                 1.0213,                0.81043,                0.82812,                0.82632,                0.37961,                      0,                    inf,                      0,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.0177,                0.66664,                0.99785,                  0.812,                0.80988,                0.82592,                0.43235,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     70,                 1.0179,                0.68506,                  1.027,                0.81007,                0.70312,                0.76488,                0.43379,                      0,                    inf,                      0,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.0158,                0.67852,                 1.0038,                0.87147,                0.74164,                0.80266,                0.43621,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     72,                0.97832,                 0.6899,                 1.0187,                0.80549,                0.78125,                0.80163,                0.39479,                      0,                    inf,                      0,              0.0064855,              0.0064855,              0.0064855
